Origin,Year,Month,Cancelled,Cancelled,Delayed,Delayed,TotalFlights,DepDelay,ArrDelay,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
LCH,2008,6,3.0,0.03488372093023256,27.0,0.313953488372093,86.0,7.072289156626506,7.759036144578313,127.0,27.8125,8.375,11.625,1.3125,10.125
LCH,2008,7,1.0,0.011494252873563218,22.0,0.25287356321839083,87.0,11.290697674418604,11.918604651162791,127.0,85.3076923076923,0.5384615384615384,14.307692307692308,0.0,6.615384615384615
LCH,2008,8,5.0,0.05747126436781609,15.0,0.1724137931034483,87.0,21.902439024390244,24.78048780487805,127.0,48.55555555555556,56.833333333333336,18.0,0.0,14.944444444444445
LCH,2008,9,15.0,0.1595744680851064,9.0,0.09574468085106383,94.0,-4.2025316455696204,-8.860759493670885,127.0,6.333333333333333,0.0,6.333333333333333,0.0,16.0
LCH,2008,10,0.0,0.0,7.0,0.109375,64.0,0.890625,2.125,127.0,29.75,13.0,33.875,0.0,0.0
LCH,2008,11,1.0,0.015151515151515152,8.0,0.12121212121212122,66.0,-2.6923076923076925,-5.461538461538462,127.0,0.0,0.0,25.0,5.0,0.0
LCH,2008,12,10.0,0.15384615384615385,13.0,0.2,65.0,4.745454545454545,3.036363636363636,127.0,104.5,0.0,24.0,0.0,0.0
LEX,2008,1,23.0,0.030707610146862484,194.0,0.2590120160213618,749.0,10.348484848484848,11.532503457814661,376.5500667556742,8.342541436464089,1.7679558011049723,38.46408839779006,0.0,18.19889502762431
LEX,2008,2,61.0,0.08519553072625698,222.0,0.3100558659217877,716.0,17.317557251908397,18.068912710566615,372.9008379888268,11.79144385026738,5.283422459893048,41.839572192513366,0.0,19.893048128342247
LEX,2008,3,51.0,0.06,253.0,0.29764705882352943,850.0,15.091364205256571,13.20577164366374,365.48823529411766,15.035353535353535,7.333333333333333,36.93939393939394,0.0,19.41919191919192
LEX,2008,4,16.0,0.01812004530011325,203.0,0.22989807474518686,883.0,6.904267589388697,3.551963048498845,357.60588901472255,18.550335570469798,6.302013422818792,28.78523489932886,0.0,11.758389261744966
LEX,2008,5,6.0,0.006514657980456026,153.0,0.16612377850162866,921.0,5.261202185792349,1.1333333333333333,353.4484256243214,20.786324786324787,2.5555555555555554,38.43589743589744,0.0,15.974358974358974
LEX,2008,6,19.0,0.019895287958115182,299.0,0.31308900523560207,955.0,13.991452991452991,11.432403433476395,363.7204188481675,17.686274509803923,6.813725490196078,37.42156862745098,0.0,17.004901960784313
LEX,2008,7,20.0,0.02127659574468085,228.0,0.2425531914893617,940.0,8.245652173913044,3.958695652173913,382.96382978723403,21.666666666666668,2.34640522875817,38.86274509803921,0.0,8.196078431372548
LEX,2008,8,20.0,0.021739130434782608,162.0,0.17608695652173914,920.0,2.637777777777778,-1.6948775055679288,382.3619565217391,14.0,1.4285714285714286,28.026785714285715,0.0,14.758928571428571
LEX,2008,9,14.0,0.01611047180667434,144.0,0.16570771001150747,869.0,3.088888888888889,0.09590643274853801,370.7686996547756,14.95959595959596,6.525252525252525,31.90909090909091,0.0,12.06060606060606
LEX,2008,10,6.0,0.007125890736342043,159.0,0.18883610451306412,842.0,3.4569377990430623,1.0514354066985645,371.4109263657957,18.923076923076923,0.8173076923076923,29.028846153846153,0.019230769230769232,16.08653846153846
LEX,2008,11,4.0,0.004796163069544364,184.0,0.22062350119904076,834.0,8.007228915662651,6.015681544028951,397.3693045563549,28.684615384615384,1.146153846153846,33.36923076923077,0.0,16.96153846153846
LEX,2008,12,54.0,0.06242774566473988,334.0,0.3861271676300578,865.0,17.156211562115622,19.417283950617286,407.26473988439307,13.794326241134751,5.141843971631205,22.0531914893617,0.35815602836879434,23.22695035460993
LFT,2008,1,12.0,0.02654867256637168,124.0,0.2743362831858407,452.0,7.65,9.56392694063927,298.27433628318585,17.319148936170212,8.680851063829786,20.840425531914892,0.0,19.20212765957447
LFT,2008,2,11.0,0.02588235294117647,120.0,0.2823529411764706,425.0,8.681159420289855,6.330917874396135,297.38117647058823,18.67105263157895,8.381578947368421,23.81578947368421,0.19736842105263158,17.81578947368421
LFT,2008,3,23.0,0.054502369668246446,146.0,0.3459715639810427,422.0,12.947368421052632,12.532828282828282,299.8341232227488,20.79787234042553,13.702127659574469,16.351063829787233,0.0,23.574468085106382
